age,capital_gain,capital_loss,education,final_weight,hours_worked_per_week,marital_status,native_country,occupation,race,relationship,is_male,workclass,over_threshold,capital_gain_log1p,capital_loss_log1p,final_weight_log1p,native_country_frequency
29,0.0,0.0,10,91547,40,Never-married,United-States,Sales,White,Not-in-family,False,Private,0,0.0,0.0,11.42461870387823,0.8937728937728938
59,99999.0,0.0,3,76860,40,Married-civ-spouse,__RARE__,Exec-managerial,Asian-Pac-Islander,Husband,True,Self-emp-inc,1,11.512925464970229,0.0,11.249753874702945,0.0
39,0.0,0.0,9,164515,40,Divorced,United-States,Adm-clerical,White,Unmarried,False,Local-gov,0,0.0,0.0,12.010763108895375,0.8937728937728938
51,0.0,0.0,6,194788,30,Divorced,United-States,Adm-clerical,White,Other-relative,False,Private,0,0.0,0.0,12.179672200423699,0.8937728937728938
50,0.0,0.0,9,154043,40,Widowed,United-States,Adm-clerical,Black,Other-relative,False,Private,0,0.0,0.0,11.944993554872926,0.8937728937728938
19,0.0,0.0,10,224241,20,Never-married,United-States,Sales,White,Own-child,False,Private,0,0.0,0.0,12.320481104814236,0.8937728937728938
40,0.0,0.0,9,129298,40,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0,0.0,0.0,11.769882830777993,0.8937728937728938
20,0.0,0.0,8,224424,40,Never-married,United-States,Machine-op-inspct,White,Own-child,True,Private,0,0.0,0.0,12.321296854624888,0.8937728937728938
20,0.0,0.0,10,71475,40,Never-married,United-States,Adm-clerical,White,Own-child,False,Private,0,0.0,0.0,11.177117007998552,0.8937728937728938
28,0.0,0.0,9,119793,60,Never-married,United-States,Sales,White,Own-child,True,Private,0,0.0,0.0,11.693528879936814,0.8937728937728938
31,0.0,0.0,9,225779,40,Never-married,United-States,Machine-op-inspct,White,Not-in-family,False,Private,0,0.0,0.0,12.327316352815538,0.8937728937728938
43,0.0,0.0,9,56920,60,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0,0.0,0.0,10.949419620566681,0.8937728937728938
24,0.0,0.0,7,174182,24,Married-civ-spouse,United-States,?,__RARE__,Wife,False,?,0,0.0,0.0,12.067861749660239,0.8937728937728938
34,0.0,0.0,10,302770,60,Married-civ-spouse,United-States,Sales,White,Husband,True,Private,0,0.0,0.0,12.620732023171605,0.8937728937728938
29,0.0,0.0,13,90934,64,Never-married,__RARE__,Prof-specialty,Asian-Pac-Islander,Own-child,True,Private,1,0.0,0.0,11.417900244561118,0.0
44,0.0,0.0,13,323790,40,Married-civ-spouse,United-States,Protective-serv,White,Husband,True,Local-gov,1,0.0,0.0,12.68785352490424,0.8937728937728938
53,0.0,0.0,14,204447,43,Married-civ-spouse,United-States,Exec-managerial,White,Husband,True,Local-gov,1,0.0,0.0,12.22806894340207,0.8937728937728938
34,0.0,0.0,13,250724,45,Married-civ-spouse,__RARE__,Sales,White,Husband,True,Private,0,0.0,0.0,12.432111999956408,0.0
53,0.0,0.0,9,117932,40,Divorced,United-States,Machine-op-inspct,White,Not-in-family,False,Private,0,0.0,0.0,11.677871945580094,0.8937728937728938
30,0.0,0.0,10,164493,10,Never-married,United-States,Adm-clerical,White,Own-child,False,Local-gov,0,0.0,0.0,12.010629374358231,0.8937728937728938
35,0.0,0.0,9,379959,40,Divorced,United-States,Other-service,White,Not-in-family,False,Private,0,0.0,0.0,12.84782126300412,0.8937728937728938
34,0.0,0.0,9,140011,45,Never-married,United-States,Craft-repair,White,Own-child,True,Private,0,0.0,0.0,11.849483412203897,0.8937728937728938
26,10520.0,0.0,13,102476,64,Never-married,United-States,Prof-specialty,White,Own-child,True,Private,1,9.261128538808288,0.0,11.53739366213744,0.8937728937728938
32,0.0,0.0,9,185410,40,Never-married,United-States,Adm-clerical,White,Not-in-family,False,Private,0,0.0,0.0,12.130330261529704,0.8937728937728938
41,0.0,0.0,13,167375,52,Never-married,United-States,Adm-clerical,White,Not-in-family,True,Private,0,0.0,0.0,12.027998057583542,0.8937728937728938
23,0.0,0.0,10,215443,70,Never-married,United-States,Other-service,White,Not-in-family,True,Private,0,0.0,0.0,12.280456293967411,0.8937728937728938
36,0.0,0.0,4,140854,45,Married-civ-spouse,__RARE__,Adm-clerical,White,Husband,True,Private,0,0.0,0.0,11.855486271431996,0.0
