age,capital_gain,capital_loss,education,final_weight,hours_worked_per_week,marital_status,native_country,occupation,race,relationship,is_male,workclass,over_threshold
33,0.0,0.0,13,150657,40,Never-married,United-States,Prof-specialty,Black,Other-relative,False,State-gov,0
55,0.0,0.0,6,176904,50,Married-civ-spouse,United-States,Transport-moving,White,Husband,True,Private,0
54,0.0,0.0,9,329733,40,Never-married,United-States,Exec-managerial,White,Unmarried,True,Private,1
32,0.0,0.0,9,101266,40,Married-civ-spouse,?,Other-service,White,Husband,True,Private,0
22,0.0,1590.0,9,21154,32,Never-married,United-States,Other-service,White,Not-in-family,False,Private,0
28,0.0,0.0,9,141702,60,Never-married,United-States,Sales,White,Not-in-family,True,Self-emp-not-inc,0
39,0.0,0.0,12,160623,40,Never-married,United-States,Craft-repair,White,Own-child,True,Private,0
28,0.0,0.0,10,36601,35,Never-married,United-States,Other-service,White,Unmarried,False,Private,0
54,0.0,0.0,11,164757,16,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Self-emp-not-inc,0
46,0.0,0.0,16,344415,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1
38,3781.0,0.0,4,171150,78,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,0
48,0.0,0.0,13,204629,40,Married-civ-spouse,United-States,Prof-specialty,White,Husband,True,Private,1
65,2964.0,0.0,4,72776,40,Never-married,United-States,Farming-fishing,White,Not-in-family,True,Self-emp-not-inc,0
36,15024.0,0.0,9,170174,56,Married-civ-spouse,United-States,Craft-repair,White,Husband,True,Private,1
24,0.0,0.0,9,161638,40,Married-civ-spouse,Ecuador,Machine-op-inspct,White,Not-in-family,False,Private,0
21,0.0,0.0,9,452640,40,Never-married,United-States,Craft-repair,White,Not-in-family,True,Private,0
50,0.0,0.0,9,67794,60,Married-spouse-absent,United-States,Sales,White,Not-in-family,True,Self-emp-inc,0
37,0.0,0.0,13,182148,39,Never-married,United-States,Other-service,White,Not-in-family,True,Private,0
38,0.0,0.0,11,104089,40,Never-married,United-States,Craft-repair,White,Own-child,True,Private,0
39,5013.0,0.0,9,196673,40,Married-civ-spouse,United-States,Other-service,White,Wife,False,Private,0
34,0.0,0.0,6,112584,38,Divorced,United-States,Other-service,White,Unmarried,False,Private,0
21,0.0,0.0,10,120998,20,Never-married,United-States,Prof-specialty,White,Not-in-family,True,Private,0
28,0.0,0.0,5,154863,40,Married-civ-spouse,Trinadad&Tobago,Craft-repair,Black,Husband,True,Local-gov,1
39,0.0,0.0,13,343646,40,Divorced,Mexico,Protective-serv,White,Not-in-family,True,State-gov,1
62,0.0,0.0,7,499971,40,Widowed,United-States,Handlers-cleaners,Black,Not-in-family,False,Private,0
